Sl. No,Event,Month,Date,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
201,SARS Epidemic,Unknown,Unknown,Unknown,Unknown,2002,China,Health Crisis,Guangdong,A severe outbreak that underscored the need for global public health cooperation and transparency.,Global population,Unknown,Negative
255,Moscow Theater Hostage Crisis,10,2002-10-23,23,October,2002,Russia,Terrorism,Moscow,"A deadly siege carried out by Chechen terrorists, ending with numerous casualties.","Hostages, terrorists","Chechen terrorists, Russian security forces",Negative
429,2002 FIFA World Cup,5,2002-05-31,31,May,2002,South Korea,International Sports Event,"South Korea, Japan","CoUnknownhosted with Japan, this event marked South Korea's significant presence in international sports.",Global audience,"FIFA, South Korea, Japan",Positive
641,China Airlines Flight 611,5,2002-05-25,25,May,2002,Taiwan,Aviation,Taiwan Strait,"Disintegration in midUnknownflight due to structural failure, killing all 225 aboard.",225 passengers & crew,Boeing 747Unknown209B,Negative
1041,Algerian Civil War Ends,Unknown,Unknown,Unknown,Unknown,2002,Algeria,Peace Agreement,Algeria,End of a decadeUnknownlong civil war.,Algerians,Algerian Government,Positive
1042,End of Sierra Leone Civil War,1,2002-01-18,18,January,2002,Sierra Leone,Peace Agreement,Sierra Leone,"Marked the end of the civil war, beginning of peacebuilding efforts.",Sierra Leoneans,"Government of Sierra Leone, RUF, UN",Positive
1074,FIFA World Cup Victory,6,2002-06-30,30,June,2002,Brazil,Sports,Sweden,Brazil wins its first FIFA World Cup boosting national pride,Brazilian population,Football team,Positive
1119,Adoption of the Euro,1,Unknown,Unknown,January,2002,Germany,Economic,Germany,Introduction of the Euro as the official currency replacing the Deutsche Mark,Germans,European Central Bank,Positive
507,Riyadh Compound Bombings,5,2003-05-12,12,May,2003,Saudi Arabia,Terrorism,Riyadh,"AlUnknownQaeda attacks targeting expatriates underscored the internal threat of extremism, leading to security reforms.","Expatriates, Saudi citizens",AlUnknownQaeda,Negative
1073,Lula da Silva's Presidency,1,2003-01-01,1,January,2003,Brazil,Political,Brazil,First workingUnknownclass president,Brazilian population,Luiz Inácio Lula da Silva,Positive
121,HEC Digital Library Initiative,Unknown,Unknown,2004,Unknown,2004,Pakistan,Education,Nationwide,Provides students and researchers access to international scholarly literature.,"Students, researchers",Higher Education Commission of Pakistan,Positive
127,Tsunami Disaster,12,2004-12-26,26,December,2004,Sri Lanka,Natural Disaster,Coastal Sri Lanka,"One of the deadliest natural disasters in Sri Lanka, leading to significant loss of life and displacement.","Coastal residents, general population",Unknown,Negative
256,Beslan School Siege,9,2004-09-01,1,September,2004,Russia,Terrorism,"Beslan, North Ossetia","A terrorist attack resulting in over 330 deaths, including many children.",Beslan residents,"Chechen terrorists, Russian security forces",Negative
387,Foreshore and Seabed Controversy,Unknown,Unknown,Unknown,Unknown,2004,New Zealand,Legal/Political,New Zealand,"Sparked debate over Māori customary rights to the foreshore and seabed, leading to political and legal reform.","Māori, New Zealanders",New Zealand Government,Mixed
395,Formation of the Māori Party,Unknown,Unknown,Unknown,Unknown,2004,New Zealand,Political Development,New Zealand,"Established to represent Māori interests in Parliament, emphasizing indigenous rights and perspectives.","Māori, political observers",Māori Leaders,Positive
430,Impeachment of President Roh MooUnknownhyun,3,2004-03-12,12,March,2004,South Korea,Political,Seoul,"Roh's impeachment for alleged election law violations, highlighting South Korea's political volatility.",South Korean citizens,South Korean National Assembly,Mixed
620,2004 Tsunami Impact,12,2004-12-26,26,December,2004,Maldives,Natural Disaster,Indian Ocean,Devastation and subsequent reconstruction efforts highlighting vulnerability to climate change.,Maldivian citizens,Unknown,Negative
895,2004 Madrid Train Bombings,3,2004-03-11,11,March,2004,Spain,Terrorism,Madrid,Highlighted the threat of international terrorism,Citizens of Madrid,Terrorist groups,Negative
20,Right to Information Act Enacted,6,2005-06-15,15,June,2005,India,Legislation,India,Empowered citizens to seek information from public authorities,Indian citizens,Government of India,Positive
93,2005 Kashmir Earthquake,10,2005-10-08,8,October,2005,Pakistan,Natural Disaster,"Kashmir, Pakistan","A devastating earthquake affecting Kashmir region, causing widespread damage and casualties.",Residents of Kashmir,"Government of Pakistan, International Aid",Negative
202,AntiUnknownSecession Law Passed,3,2005-03-14,14,March,2005,China,Legislation,Beijing,"Aimed at preventing Taiwan's independence through nonUnknownpeaceful means, escalating crossUnknownstrait tensions.",Chinese and Taiwanese populations,National People's Congress of China,Mixed
505,Saudi Arabia Joins the WTO,12,2005-12-11,11,December,2005,Saudi Arabia,Economic Integration,Unknown,Enhanced Saudi Arabia's global trade relations and required significant economic reforms for compliance.,Saudi Arabian economy,Saudi Government,Positive
508,King Abdullah's Ascension,8,2005-08-01,1,August,2005,Saudi Arabia,Leadership Change,Unknown,"Began a period marked by cautious reforms in education, economy, and increased openness to the world.",Saudi Arabian citizens,King Abdullah,Positive
619,Introduction of a Multiparty System,6,Unknown,Unknown,June,2005,Maldives,Political Reform,Maldives,Reformation towards a more democratic political system.,Maldivian citizens,Maumoon Abdul Gayoom,Positive
670,Hurricane Katrina,8,2005-08-29,29,August,2005,USA,Natural Disaster,Gulf Coast,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life.",Gulf Coast residents,Unknown,Negative
739,Legalization of SameUnknownSex Marriage,7,2005-07-20,20,July,2005,Canada,Legislative,Nationwide,Made Canada the fourth country worldwide to legalize sameUnknownsex marriage.,LGBTQ+ community,Paul Martin,Positive
788,London Underground Bombings,7,2005-07-07,7,July,2005,UK,Terrorism,London,Major terrorist attack on public transport,London's population,Islamist terrorists,Negative
807,UK Hosts the G8 Summit,7,2005-07-17,17,July,2005,UK,International Politics,Gleneagles,Focus on climate change and Africa's development,Global leaders,UK Government,Positive
917,Approval of SameUnknownSex Marriage,6,2005-06-30,30,June,2005,Spain,Social Policy,Spain,Made Spain one of the first countries to legalize sameUnknownsex marriage,"LGBTQ+ community, Spanish population",Spanish Government,Positive
1008,Comprehensive Peace Agreement,1,2005-01-09,9,January,2005,Sudan,Peace Agreement,Sudan,"Ended the Second Sudanese Civil War, led to South Sudan's independence.","Sudanese, South Sudanese","SPLM, Government of Sudan",Positive
1081,Mensalão Scandal,Unknown,Unknown,Unknown,Unknown,2005,Brazil,Political Scandal,Brazil,Major corruption scandal involving bribery and misuse of public funds,Brazilian population,Various politicians,Negative
112,Women's Protection Bill,11,2006-11-15,15,November,2006,Pakistan,Legislation,Islamabad,Aims to amend and strengthen laws related to women's rights and protection.,Women in Pakistan,Parliament of Pakistan,Positive
118,Protection of Women Act,11,2006-11-29,29,November,2006,Pakistan,Legislation,Islamabad,Enhances legal protections for women against violence and discrimination.,Women in Pakistan,Parliament of Pakistan,Positive
423,North Korea's First Nuclear Test,10,2006-10-09,9,October,2006,North Korea,Nuclear Test,Kilju County,"North Korea's first successful nuclear test, significantly impacting international relations and security dynamics.",International community,Kim JongUnknownil,Negative
653,Sidoarjo Mud Flow,5,2006-05-29,29,May,2006,Indonesia,Industrial Accident,Sidoarjo,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages.",Thousands displaced,Lapindo Brantas drilling rig,Negative
882,2006 Winter Olympics in Turin,Unknown,Unknown,10,February,2006,Italy,Sporting Event,Turin,Showcased Italy on a global stage,Global and Italian populations,International Olympic Committee,Positive
1120,2006 FIFA World Cup,7,Unknown,Unknown,July,2006,Germany,Sports,Germany,Hosted the FIFA World Cup showcasing Germany on the global stage,International audience,FIFA,Positive
45,India Wins ICC T20 World Cup 2007,9,2007-09-24,24,September,2007,India,Sports,South Africa,Boosted the popularity of T20 cricket in India and worldwide,Indian sports fans,Indian cricket team,Positive
94,Assassination of Benazir Bhutto,12,2007-12-27,27,December,2007,Pakistan,Political,Rawalpindi,The assassination of the former Prime Minister of Pakistan and a major political figure.,Pakistani citizens,Unknown assailants,Negative
448,Vietnam Joins the World Trade Organization,1,2007-01-11,11,January,2007,Vietnam,International Trade Membership,Geneva,"Marked Vietnam's deeper integration into the global economy, promoting trade and investment.",Vietnamese economy,"WTO, Vietnamese Government",Positive
451,"Resolution on ""Vietnam's Marine Strategy to 2020""",Unknown,Unknown,Unknown,Unknown,2007,Vietnam,Environmental/Economic Policy,Vietnam,"Aimed at sustainable development of marine resources, highlighting Vietnam's commitment to environmental preservation and economic growth.",Vietnamese people,Communist Party of Vietnam,Positive
647,OneUnknownTwoUnknownGO Airlines Flight 269,9,2007-09-16,16,September,2007,Thailand,Aviation,Phuket,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities.",130 passengers & crew,McDonnell Douglas MDUnknown82,Negative
856,France Bans Smoking in Public Places,1,2007-01-01,1,January,2007,France,Health,Various,Public health measure to reduce smoking,French population,French Government,Positive
927,Law of Historical Memory,12,2007-12-26,26,December,2007,Spain,Legislation,Spain,"Addressed the legacy of Franco's regime, civil war victims",Spanish population,Spanish Government,Positive
12,Mumbai Terror Attacks,11,2008-11-26,26,November,2008,India,Terrorism,Mumbai,Highlighted the threat of international terrorism,Citizens of Mumbai,LashkarUnknowneUnknownTaiba,Negative
52,Launch of ChandrayaanUnknown1,10,2008-10-22,22,October,2008,India,Space Exploration,Moon,"India's first lunar mission, contributing significant findings like water molecules on Moon",Scientific community,Indian Space Research Organisation (ISRO),Positive
115,Benazir Income Support Programme Launch,Unknown,Unknown,Unknown,Unknown,2008,Pakistan,Social Welfare Program,Nationwide,A federal unconditional cash transfer poverty reduction program in Pakistan.,LowUnknownincome families,Government of Pakistan,Positive
162,China Hosts the Olympic Games,8,2008-08-08,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
179,2008 Beijing Olympics,8,2008-08-08,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
199,2008 Beijing Olympic Games,8,2008-08-08,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
203,HighUnknownSpeed Rail Expansion,Unknown,Unknown,Unknown,Unknown,2008,China,Infrastructure Development,Nationwide,"Initiated extensive development of the highUnknownspeed rail network, revolutionizing domestic travel and connectivity.",Chinese citizens,"Chinese government, Ministry of Railways",Positive
339,Apology to Australia's Indigenous Peoples,Unknown,Unknown,13,February,2008,Australia,Political,Canberra,"The Australian government formally apologised to the Indigenous Australians for past injustices, particularly the Stolen Generations.",Indigenous Australians,Kevin Rudd (Prime Minister),Positive
350,Apology to the Stolen Generations,Unknown,Unknown,13,February,2008,Australia,Political,Canberra,The government formally apologized for the forced removal of Indigenous children from their families.,Indigenous Australians,Kevin Rudd,Positive
452,Vietnam's First Communication Satellite,4,2008-04-19,19,April,2008,Vietnam,Technological Advancement,Space,"Launched VINASATUnknown1, marking Vietnam's entry into the space age and enhancing communication capabilities.",Vietnamese people,Government of Vietnam,Positive
618,First Democratic Elections,3,Unknown,Unknown,March,2008,Bhutan,Political Development,Bhutan,Transition to a constitutional monarchy with the first democratic elections.,Bhutanese citizens,Jigme Khesar Namgyel Wangchuck,Positive
687,Housing Market Crash and Great Recession,Unknown,Unknown,Unknown,Unknown,2008,USA,Economic,Nationwide,"Triggered global financial crisis, leading to widespread economic hardship.","Homeowners, global economy","Financial institutions, government",Negative
737,Apology to Residential School Survivors,6,2008-06-11,11,June,2008,Canada,Social Justice,Ottawa,Official apology to Indigenous peoples for the residential school system.,Indigenous communities,Stephen Harper,Positive
912,Financial Crisis Impact,Unknown,Unknown,Unknown,Unknown,2008,Spain,Economic,Spain,"Severe economic downturn, unemployment rise",Spanish population,Global Financial Crisis,Negative
34,Right to Education Act,8,2009-08-04,4,August,2009,India,Legislation,India,Ensured free and compulsory education for children,Children aged 6 to 14,Government of India,Positive
37,Opening of BandraUnknownWorli Sea Link,6,2009-06-30,30,June,2009,India,Infrastructure,Mumbai,Improved connectivity and reduced travel time in Mumbai,Commuters in Mumbai,Government of Maharashtra,Positive
128,End of the Civil War,5,2009-05-18,18,May,2009,Sri Lanka,Military,Mullaitivu,Ended nearly three decades of conflict between the Sri Lankan government and LTTE.,"Sri Lankan citizens, especially Tamils","Mahinda Rajapaksa, Sri Lankan Armed Forces",Positive
354,Black Saturday Bushfires,Unknown,Unknown,7,February,2009,Australia,Natural Disaster,Victoria,"One of the deadliest bushfires in Australian history, leading to significant loss of life and property.",Residents of Victoria,State Government of Victoria,Negative
433,Second Nuclear Test,5,2009-05-25,25,May,2009,North Korea,Nuclear Test,North Korea,"Escalated tensions with the international community, underlining North Korea's commitment to its nuclear program.",International community,Kim JongUnknownil,Negative
625,Green Movement,6,Unknown,Unknown,June,2009,Iran,Political Movement,Iran,"Protests over the disputed presidential election results, calling for political reform.",Iranian citizens,Opposition supporters,Negative
883,L'Aquila Earthquake,4,2009-04-06,6,April,2009,Italy,Natural Disaster,L'Aquila,Significant loss of life and damage to heritage sites,L'Aquila population,Nature,Negative
1049,Boko Haram Insurgency Intensifies,Unknown,Unknown,Unknown,Unknown,2009,Nigeria,Insurgency,Northeast Nigeria,"Led to thousands of deaths and displacement, challenging national security.",Nigerians,Boko Haram,Negative
116,18th Amendment to the Constitution,4,2010-04-19,19,April,2010,Pakistan,Constitutional Amendment,Islamabad,A landmark amendment that devolved significant powers from the federal government to the provinces.,Pakistani citizens,Parliament of Pakistan,Positive
134,Victory over Terrorism Day,5,2010-05-18,18,May,2010,Sri Lanka,Commemoration,Nationwide,Marks the end of the civil war and the defeat of LTTE.,Sri Lankan citizens,Government of Sri Lanka,Positive
204,Shanghai World Expo,5,2010-05-01,1,May,2010,China,International Exhibition,Shanghai,"Showcased China's cultural and economic global integration, attracting participants and visitors worldwide.",International visitors,"Shanghai World Expo Bureau, International Participants",Positive
357,Australia's First Female Prime Minister,6,2010-06-24,24,June,2010,Australia,Political Milestone,Australia,"Julia Gillard became the first female Prime Minister, representing a historic moment in Australian politics.",Australian citizens,Julia Gillard,Positive
449,1000th Anniversary of Hanoi,10,2010-10-10,10,October,2010,Vietnam,Cultural Celebration,Hanoi,"Celebrated the founding of the city, emphasizing Vietnam's rich history and cultural heritage.",Vietnamese people,Government of Vietnam,Positive
680,Affordable Care Act (Obamacare) Implementation,Unknown,Unknown,Unknown,Unknown,2010,USA,Healthcare,Nationwide,Implementation of the Affordable Care Act aimed at improving healthcare access.,American citizens,"Barack Obama, Healthcare professionals",Positive
738,Vancouver Winter Olympics,Unknown,Unknown,12,February,2010,Canada,Sports,Vancouver,"Hosted the Winter Olympics, showcasing Canada on the world stage.","Athletes, global audience",VANOC,Positive
919,Austerity Measures During Crisis,Unknown,Unknown,Unknown,Unknown,2010,Spain,Economic Policy,Spain,"Addressed economic crisis, led to social unrest",Spanish population,"Spanish Government, EU",Negative
925,2010 FIFA World Cup Victory,7,2010-07-11,11,July,2010,South Africa,Sports,Johannesburg,"First World Cup win, boosted national pride","Spanish population, international",Spanish National Football Team,Positive
1012,Tunisian Revolution,12,2010-12-18,18,December,2010,Tunisia,Revolution,Tunisia,"Triggered the Arab Spring, leading to democratization.",Tunisians,"Mohamed Bouazizi, Civil Society",Positive
1131,SameUnknownSex Marriage Law,7,2010-07-15,15,July,2010,Argentina,Legal,Argentina,First country in Latin America to legalize sameUnknownsex marriage,Argentinians,Argentine Legislature,Positive
305,Fukushima Daiichi Nuclear Disaster,3,2011-03-11,11,March,2011,Japan,Nuclear Accident,Fukushima,"Triggered by a massive earthquake and tsunami, it was one of the worst nuclear disasters in history.","Residents of affected area, global community","TEPCO, Japanese government",Negative
386,2011 Christchurch Earthquake,Unknown,Unknown,22,February,2011,New Zealand,Natural Disaster,Christchurch,"A devastating earthquake that caused significant loss of life and damage, impacting the nation's resilience and urban planning.","Christchurch residents, New Zealanders",Unknown,Negative
434,Death of Kim JongUnknownil,12,2011-12-17,17,December,2011,North Korea,Leadership Change,Pyongyang,Marked the end of Kim JongUnknownil's era and the beginning of Kim JongUnknownun's rule.,North Korean citizens,Unknown,Mixed
627,Zhanaozen Massacre,12,2011-12-16,16,December,2011,Zhanaozen,Civil Unrest,Zhanaozen,"Violent crackdown on striking oil workers, leading to numerous deaths and injuries.",Kazakh workers,Kazakhstan Government,Negative
649,Fukushima Daiichi Nuclear Disaster,3,2011-03-11,11,March,2011,Japan,Nuclear Accident,Fukushima Prefecture,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material.",Residents of Fukushima,Fukushima Daiichi Nuclear Power Plant,Negative
650,Wenzhou Train Collision,7,2011-07-23,23,July,2011,China,Rail,Wenzhou,"HighUnknownspeed train collision due to signal failure, causing 40 deaths and over 190 injuries.",Passengers,HighUnknownspeed Trains,Negative
918,ETA's Permanent Ceasefire,10,2011-10-20,20,October,2011,Spain,Peace/Security,Basque Country,End of ETA's armed campaign for Basque independence,"Basque population, Spanish population","ETA, Spanish Government",Positive
1009,Libyan Civil War,Unknown,Unknown,17,February,2011,Libya,Civil War,Libya,Overthrow of Muammar Gaddafi's regime.,Libyans,"NTC, NATO, Gaddafi regime",Mixed
1044,Joseph Kony Insurgency Declines,Unknown,Unknown,Unknown,Unknown,2011,Uganda,Military,Northern Uganda,"Significant decline in LRA activities, improvement in regional security.",Ugandans,"Ugandan Military, International Efforts",Positive
1045,Fall of Gaddafi,10,2011-10-20,20,October,2011,Libya,Revolution,"Sirte, Libya","Marked the end of Muammar Gaddafi's 42Unknownyear rule, leading to a period of instability.",Libyans,"NATO, Libyan Rebels",Mixed
1046,Egyptian Revolution of 2011,1,2011-01-25,25,January,2011,Egypt,Revolution,"Cairo, Egypt",Led to the overthrow of President Hosni Mubarak.,Egyptians,"Egyptian protestors, military",Mixed
1050,Independence from Sudan,7,2011-07-09,9,July,2011,South Sudan,Independence,South Sudan,"Became the newest country in the world, following a referendum.",South Sudanese,"SPLM, International Community",Positive
21,Nirbhaya Case,12,2012-12-16,16,December,2012,India,Criminal Incident,New Delhi,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive
435,Kim JongUnknownun Assumes Power,Unknown,Unknown,Unknown,Unknown,2012,North Korea,Political,North Korea,"Initiated a new leadership era, with a focus on nuclear development and economic improvement.",North Korean citizens,Kim JongUnknownun,Mixed
672,Supreme Court Upholds Obamacare,6,2012-06-28,28,June,2012,USA,Judicial,Washington D.C.,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage.",American citizens,Supreme Court,Positive
679,Hurricane Sandy,10,2012-10-29,29,October,2012,USA,Natural Disaster,East Coast,Devastating hurricane causing extensive damage and highlighting climate risks.,East Coast residents,"Local governments, relief efforts",Negative
789,2012 London Olympics,7,2012-07-27,27,July,2012,UK,Sporting Event,London,Showcased UK on global stage and boosted economy,UK and global visitors,International Olympic Committee,Positive
884,Costa Concordia Shipwreck,1,2012-01-13,13,January,2012,Italy,Maritime Disaster,Giglio Island,Loss of lives and environmental impact,Cruise passengers and crew,Captain Francesco Schettino,Negative
1047,Coup d'état,3,2012-03-22,22,March,2012,Mali,Coup,"Bamako, Mali","Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative
1048,Seleka Rebellion Begins,12,Unknown,Unknown,December,2012,Central African Republic,Rebellion,Central African Republic,"Sparked a civil war, leading to ongoing conflict and humanitarian crisis.",Central Africans,Seleka coalition,Negative
1132,Nationalization of YPF,4,2012-04-16,16,April,2012,Argentina,Economic,Argentina,Government takeover of YPF from Repsol,Argentinians,Cristina Fernández de Kirchner,Mixed
43,2013 Uttarakhand Floods,6,Unknown,Unknown,June,2013,India,Natural Disaster,Uttarakhand,Severe floods causing massive destruction and loss of life,"Residents, pilgrims","State Government, National Disaster Response Force",Negative
200,Belt and Road Initiative Announced,Unknown,Unknown,Unknown,Unknown,2013,China,Economic and Infrastructure Project,Nationwide,A global development strategy adopted by the Chinese government involving infrastructure development and investments.,"Global, especially participating countries",Xi Jinping,Mixed
205,Xi Jinping Assumes Presidency,3,2013-03-14,14,March,2013,China,Political,Beijing,"Marked the beginning of Xi Jinping's leadership, significantly impacting China's domestic policies and global stance.",Chinese citizens,Xi Jinping,Mixed
356,Royal Commission into Institutional Responses...,Unknown,Unknown,Unknown,Unknown,2013,Australia,Legal Inquiry,Australia,"Investigated abuse in institutions, leading to widespread reforms and apologies to victims.",Abuse survivors,Australian Government,Positive
671,Black Lives Matter Movement,Unknown,Unknown,             ,Unknown,2013,USA,Social Movement,Nationwide,Movement against violence and systemic racism towards black people.,African American community,"Activists, general public",Positive
838,SameUnknownSex Marriage Legalized,5,2013-05-18,18,May,2013,France,Legislation,Paris,Legalization of sameUnknownsex marriage in France,French LGBTQ+ community,French Government,Positive
916,Madrid's Bid for 2020 Olympics,9,2013-09-07,7,September,2013,Spain,International Event,Madrid,"Boosted city's infrastructure and global image, despite not winning the bid","Madrid's population, International","Spanish Government, IOC",Mixed
1135,Jorge Mario Bergoglio becomes Pope Francis,3,2013-03-13,13,March,2013,Argentina,Religious,Vatican City,First Pope from the Americas global impact on Catholic Church,Catholics worldwide,Jorge Mario Bergoglio,Positive
44,Indian Mars Orbiter Mission Success,9,2014-09-24,24,September,2014,India,Space Exploration,Mars,"Made India the first Asian nation to reach Mars orbit, and at first attempt",Indian scientific community,ISRO,Positive
53,Start of Swachh Bharat Mission,10,2014-10-02,2,October,2014,India,Environmental/Social,Nationwide,"Aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas",Indian population,"Government of India, Prime Minister Narendra Modi",Positive
95,Operation ZarbUnknowneUnknownAzb,6,2014-06-15,15,June,2014,Pakistan,Military Operation,North Waziristan,A military operation against insurgent groups in North Waziristan part of the War on Terror.,Residents of North Waziristan,Pakistan Armed Forces,Positive
