Date,Event,Type,Location,Source,URL,Sl. No,Month,Date.1,Month.1,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
20/10/2011,Fall of Gaddafi,,,,,1045,10,20,October,2011,Libya,Revolution,"Sirte, Libya","Marked the end of Muammar Gaddafi's 42Unknownyear rule, leading to a period of instability.",Libyans,"NATO, Libyan Rebels",Mixed
16/12/2011,Zhanaozen Massacre,,,,,627,12,16,December,2011,Zhanaozen,Civil Unrest,Zhanaozen,"Violent crackdown on striking oil workers, leading to numerous deaths and injuries.",Kazakh workers,Kazakhstan Government,Negative
17/12/2011,Death of Kim JongUnknownil,,,,,434,12,17,December,2011,North Korea,Leadership Change,Pyongyang,Marked the end of Kim JongUnknownil's era and the beginning of Kim JongUnknownun's rule.,North Korean citizens,Unknown,Mixed
13/01/2012,Costa Concordia Shipwreck,,,,,884,1,13,January,2012,Italy,Maritime Disaster,Giglio Island,Loss of lives and environmental impact,Cruise passengers and crew,Captain Francesco Schettino,Negative
22/03/2012,Coup d'état,,,,,1047,3,22,March,2012,Mali,Coup,"Bamako, Mali","Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative
16/04/2012,Nationalization of YPF,,,,,1132,4,16,April,2012,Argentina,Economic,Argentina,Government takeover of YPF from Repsol,Argentinians,Cristina Fernández de Kirchner,Mixed
28/06/2012,Supreme Court Upholds Obamacare,,,,,672,6,28,June,2012,USA,Judicial,Washington D.C.,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage.",American citizens,Supreme Court,Positive
27/07/2012,2012 London Olympics,,,,,789,7,27,July,2012,UK,Sporting Event,London,Showcased UK on global stage and boosted economy,UK and global visitors,International Olympic Committee,Positive
29/10/2012,Hurricane Sandy,,,,,679,10,29,October,2012,USA,Natural Disaster,East Coast,Devastating hurricane causing extensive damage and highlighting climate risks.,East Coast residents,"Local governments, relief efforts",Negative
16/12/2012,Nirbhaya Case,,,,,21,12,16,December,2012,India,Criminal Incident,New Delhi,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive
13/03/2013,Jorge Mario Bergoglio becomes Pope Francis,,,,,1135,3,13,March,2013,Argentina,Religious,Vatican City,First Pope from the Americas global impact on Catholic Church,Catholics worldwide,Jorge Mario Bergoglio,Positive
14/03/2013,Xi Jinping Assumes Presidency,,,,,205,3,14,March,2013,China,Political,Beijing,"Marked the beginning of Xi Jinping's leadership, significantly impacting China's domestic policies and global stance.",Chinese citizens,Xi Jinping,Mixed
18/05/2013,SameUnknownSex Marriage Legalized,,,,,838,5,18,May,2013,France,Legislation,Paris,Legalization of sameUnknownsex marriage in France,French LGBTQ+ community,French Government,Positive
07/09/2013,Madrid's Bid for 2020 Olympics,,,,,916,9,7,September,2013,Spain,International Event,Madrid,"Boosted city's infrastructure and global image, despite not winning the bid","Madrid's population, International","Spanish Government, IOC",Mixed
08/03/2014,Malaysia Airlines Flight MH370 Disappearance,,,,,639,3,8,March,2014,Malaysia,Aviation,Southern Indian Ocean,"Disappeared en route from Kuala Lumpur to Beijing with 239 people on board, remains missing.",239 passengers & crew,Boeing 777Unknown200ER,Negative
18/03/2014,Russia's Annexation of Crimea,,,,,257,3,18,March,2014,Russia,Political/Territorial Change,Crimea,Led to international sanctions against Russia and significant geopolitical tensions.,"Ukrainians, Russians","Vladimir Putin, Russian government",Negative
29/03/2014,SameUnknownSex Marriage Legalized,,,,,790,3,29,March,2014,UK,Legislation,UK,Legalization of sameUnknownsex marriage in England and Wales,British LGBTQ+ community,UK Government,Positive
16/04/2014,MV Sewol Ferry Sinking,,,,,648,4,16,April,2014,South Korea,Maritime,Yellow Sea,"Ferry capsized and sank during a voyage to Jeju, over 300 dead, mostly high school students.",476 passengers & crew,MV Sewol,Negative
10/06/2014,ISIS Captures Mosul,,,,,626,6,10,June,2014,Mosul,Military Occupation,Mosul,"ISIS's rapid territorial gains in Iraq, leading to international military interventions.",Iraqi citizens,ISIS,Negative
15/06/2014,Operation ZarbUnknowneUnknownAzb,,,,,95,6,15,June,2014,Pakistan,Military Operation,North Waziristan,A military operation against insurgent groups in North Waziristan part of the War on Terror.,Residents of North Waziristan,Pakistan Armed Forces,Positive
17/07/2014,Repeal of Carbon Tax,,,,,355,7,17,July,2014,Australia,Environmental/Economic Policy,Australia,The removal of the carbon tax was a controversial environmental and economic policy change.,Australian citizens,Tony Abbott,Negative
18/09/2014,Scottish Independence Referendum,,,,,791,9,18,September,2014,UK,Political,Scotland,Scotland voted to remain in the UK,Scottish population,Scottish Government,Positive
24/09/2014,Indian Mars Orbiter Mission Success,,,,,44,9,24,September,2014,India,Space Exploration,Mars,"Made India the first Asian nation to reach Mars orbit, and at first attempt",Indian scientific community,ISRO,Positive
02/10/2014,Start of Swachh Bharat Mission,,,,,53,10,2,October,2014,India,Environmental/Social,Nationwide,"Aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas",Indian population,"Government of India, Prime Minister Narendra Modi",Positive
31/10/2014,Fall of Blaise Compaoré,,,,,1051,10,31,October,2014,Burkina Faso,Revolution,"Ouagadougou, Burkina Faso","Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests.",Burkinabè,Burkinabè protestors,Positive
10/12/2014,Malala Yousafzai's Nobel Peace Prize,,,,,113,12,10,December,2014,Pakistan,International Recognition,"Oslo, Norway",Awarded for her struggle against the suppression of children and young people and for the right of all children to education.,Global community,"Malala Yousafzai, Kailash Satyarthi",Positive
16/12/2014,2014 Peshawar School Massacre,,,,,96,12,16,December,2014,Pakistan,Terrorism,Peshawar,"A terrorist attack on the Army Public School, resulting in massive casualties, mostly children.","Students, teachers, families",TehrikUnknowniUnknownTaliban Pakistan,Negative
24/12/2014,National Action Plan Against Terrorism,,,,,123,12,24,December,2014,Pakistan,Security Policy,Nationwide,A comprehensive action plan for tackling terrorism in Pakistan following the Peshawar school massacre.,Pakistani citizens,Government of Pakistan,Positive
28/12/2014,AirAsia Flight QZ8501,,,,,643,12,28,December,2014,Indonesia,Aviation,Java Sea,"Crashed into the Java Sea during bad weather, killing all 162 people on board.",162 passengers & crew,Airbus A320Unknown216,Negative
26/03/2015,Saudi Intervention in Yemen,,,,,512,3,26,March,2015,Saudi Arabia,Military Intervention,Yemen,"Led a coalition intervening in Yemen's civil war, aiming to restore the internationally recognized government.","Yemeni civilians, regional stability",Saudi Government,Negative
20/04/2015,ChinaUnknownPakistan Economic Corridor (CPEC) Agreement,,,,,97,4,20,April,2015,Pakistan,Economic/Infrastructure,Pakistan,A collection of infrastructure projects that are under construction throughout Pakistan.,Pakistani citizens,"Government of Pakistan, China",Positive
01/05/2015,Expo 2015 in Milan,,,,,885,5,1,May,2015,Italy,World Expo,Milan,Global cultural and technological exhibition,Global and Italian populations,International Exhibitions Bureau,Positive
26/06/2015,SameUnknownSex Marriage Legalization,,,,,674,6,26,June,2015,USA,Legal,Nationwide,"Supreme Court legalized sameUnknownsex marriage, a landmark decision.","LGBTQ+ community, citizens","Supreme Court, LGBTQ+ activists",Positive
30/09/2015,Intervention in the Syrian Civil War,,,,,258,9,30,September,2015,Russia,Military Intervention,Syria,"Russia's military intervention on behalf of the Syrian government, affecting the course of the war.",Syrian population,"Vladimir Putin, Russian military",Mixed
30/11/2015,Historic Solar Alliance Initiative,,,,,55,11,30,November,2015,India,International Cooperation,"Paris, France",India coUnknownlaunched the International Solar Alliance to promote solar energy globally,Global community,"Government of India, France",Positive
08/12/2015,Murdered and Missing Indigenous Women Inquiry,,,,,741,12,8,December,2015,Canada,Social Justice,Nationwide,National inquiry into the systemic causes of violence against Indigenous women.,Indigenous communities,Justin Trudeau,Ongoing
28/12/2015,JapanUnknownKorea Comfort Women Agreement,,,,,306,12,28,December,2015,Japan,Diplomatic Agreement,Seoul,"Aimed to resolve the longUnknownstanding issue of ""comfort women"" during WWII, though met with criticism and controversy.","Victims, South Korean and Japanese populations","Shinzo Abe (Prime Minister), Park GeunUnknownhye",Mixed
25/04/2016,Vision 2030 Announced,,,,,509,4,25,April,2016,Saudi Arabia,Economic/Social Reform Plan,Unknown,"A strategic framework to reduce Saudi Arabia's dependence on oil, diversify its economy, and develop public service sectors.",Saudi Arabian citizens,Mohammed bin Salman,Positive
01/05/2016,Fort McMurray Wildfire,,,,,742,5,1,May,2016,Canada,Natural Disaster,"Fort McMurray, AB","One of Canada's costliest disasters, leading to massive evacuations.",Residents of Fort McMurray,Unknown,Negative
21/05/2016,Historic US Presidential Visit to Vietnam,,,,,453,5,21,May,2016,Vietnam,Diplomatic,"Hanoi, Ho Chi Minh City",Barack Obama's visit underscored the continued improvement of USUnknownVietnam relations postUnknownnormalization.,"Vietnamese, Americans","Barack Obama, Vietnamese Government",Positive
23/06/2016,Brexit Referendum,,,,,779,6,23,June,2016,UK,Political,UK,UK voted to leave the European Union,British population,UK Government,Mixed
12/07/2016,South China Sea Arbitration Ruling,,,,,207,7,12,July,2016,China,International Relations,South China Sea,"An international tribunal ruled against China's claims in the South China Sea, which China rejected.",Regional claimant states,"Permanent Court of Arbitration, Chinese government",Negative
13/07/2016,Theresa May becomes Prime Minister,,,,,808,7,13,July,2016,UK,Political,London,Second female Prime Minister in UK history,British population,Conservative Party,Mixed
31/08/2016,Dilma Rousseff's Impeachment,,,,,1082,8,31,August,2016,Brazil,Political,Brazil,Second Brazilian president to be impeached accused of fiscal mismanagement,Brazilian population,Unknown,Mixed
05/09/2016,Jio Telecom Launch,,,,,48,9,5,September,2016,India,Telecommunications,Nationwide,Dramatically increased internet accessibility and usage in India,Indian population,Reliance Industries,Positive
18/09/2016,2016 Uri Attack and Subsequent Surgical Strikes,,,,,58,9,18,September,2016,India,Military,"Uri, Jammu and Kashmir",Led to crossUnknownborder surgical strikes by India against militant launch pads in Pakistan,Military forces,Indian Army,Mixed
08/11/2016,India's Demonetisation Campaign,,,,,46,11,8,November,2016,India,Economic Policy,Nationwide,"Aimed to curb illegal cash holdings, and promote digital transactions",Entire population,"Government of India, Prime Minister Narendra Modi",Mixed
14/06/2017,Grenfell Tower Fire,,,,,792,6,14,June,2017,UK,Disaster,London,Deadly fire causing significant loss of life and raising safety concerns,London's population,Local authorities,Negative
01/07/2017,GST (Goods and Services Tax) Implementation,,,,,56,7,1,July,2017,India,Economic Reform,Nationwide,"Unified the country's tax system, replacing multiple indirect taxes with a single tax","Businesses, consumers",Government of India,Positive
28/07/2017,Panama Papers Case & Disqualification of PM Nawaz Sharif,,,,,98,7,28,July,2017,Pakistan,Political Corruption,Islamabad,Led to the disqualification of Prime Minister Nawaz Sharif from holding public office.,Pakistani citizens,Supreme Court of Pakistan,Mixed
12/08/2017,Charlottesville Rally and Violence,,,,,688,8,12,August,2017,USA,Social Unrest,"Charlottesville, VA",Highlighted racial tensions and sparked national debate on hate groups.,"General public, activists","White supremacists, counterprotesters",Negative
01/10/2017,Catalan Independence Referendum,,,,,913,10,1,October,2017,Spain,Political/Secession,Catalonia,Intensified national debate on regional independence,"Catalan population, Spanish population","Catalan Government, Spanish Government",Negative
04/11/2017,Typhoon Damrey Strikes Vietnam,,,,,455,11,4,November,2017,Vietnam,Natural Disaster,Vietnam,"One of the deadliest typhoons to hit Vietnam in decades, causing significant damage and loss of life.",Residents of affected areas,Unknown,Negative
04/11/2017,AntiUnknownCorruption Campaign,,,,,511,11,4,November,2017,Saudi Arabia,Political Action,Riyadh,"HighUnknownprofile arrests for corruption, signaling power consolidation by Crown Prince Mohammed bin Salman.",Saudi elites,Mohammed bin Salman,Mixed
